# Run Date: 2025-06-09 20:13:37
# Command: mimi_kegg_extract -l 40 -u 1000 -o data/processed/kegg_compounds_40_1000Da_v3.tsv
# Number ofcompounds: 16089     
#
# compound         KEGG Compound Database
# cpd              Release 114.0+/06-09, Jun 25
#                  Kanehisa Laboratories
# 
# Mass range: 40.0-1000.0 Da
#
CF	ID	Name
C14H20N2O9	C08324	Acalyphin
C15H24	C09749	alpha-Ylangene
C13H12O2	C14244	4-(Benzyloxyl)phenol
C9H11FN2O5	C12739	5'-Deoxy-5-fluorouridine
C33H52N7O18P3S	C16339	(+)-7-Isojasmonic acid CoA
C16H32O	C14499	1,2-Epoxyhexadecane
C20H12O	C14850	Benzo[a]pyrene-7,8-oxide
C20H31NO	C07171	Trihexyphenidyl
C19H23N3	C10995	Amitraz
C10H8O5S	C16196	1,2-Dihydroxynaphthalene-6-sulfonate
C7H12O6	C01295	2D-5-O-Methyl-2,3,5/4,6-pentahydroxycyclohexanone
C11H11NO4	C05657	6-Hydroxyindolelactate
C7H7ClO	C15220	2-Chloro-4-methylphenol
C8H6O4	C14100	4-Formylsalicylic acid
C20H28O12	C10715	Paeonolide
C19H20N2O3S	C07675	Pioglitazone
C6H10N2O4	C00439	N-Formimino-L-glutamate
C6H6N2O2	C19345	para-Benzoquinone dioxime
C29H52N10O6	C13927	Argiotoxin 636
C17H29NO11	C08336	Neolinustatin
C6H10O6	C03926	3-Dehydro-2-deoxy-D-gluconate
C10H19ClNO5P	C18689	Phosphamidon
C6H12O2	C12304	Butyl acetate
C14H17Cl2N3O	C18466	Hexaconazole
C14H26NO14P	C19761	1-O-(2-Acetamido-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol 3-phosphate
H2PO3NH2	C02306	Phosphoramidate
C19H23NO5	C09325	Aknadicine
C6H7FO2	C16483	4-Fluorocyclohexadiene-cis,cis-1,2-diol
C11H10O5	C14107	2-Hydroxy-4-hydroxymethylbenzalpyruvate
C13H16N2O8S2	C11755	Epithienamycin E
C33H54O8	C17074	Timosaponin A-I
C25H29NO4	C09335	Ancistrocladine
C17H28N4O15P2	C22276	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-idosamine
C20H24N4O9S	C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
C13H15N3O3S	C16518	S-(Indolylmethylthiohydroximoyl)-L-cysteine
C15H12O5	C08578	Butein
C21H22O9	C16978	Isoliquiritin
C2H3ClO2	C06755	Chloroacetic acid
C30H50	C00751	Squalene
C8H11N	C02455	1-Phenylethylamine
C21H27N3O7S	C08122	Bacampicillin
C9H14O	C14743	Isophorone
C6H10O4	C00659	2-Aceto-2-hydroxybutanoate
C40H56N6O8	C15716	Myxochromide S3
C6H10O4	C00966	2-Dehydropantoate
C6H6O4	C14516	Kojic acid
C7H16O2	C19356	1-tert-Butoxy-2-propanol
